"DR1TSELE.Code.or.Value","DR1TSELE.Value.Description","DR1TSELE.Count","DR1TSELE.Cumulative","DR1TSELE.Skip.to.Item"
"0.2 to 651.4","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
