"DEX6HDPM.Code.or.Value","DEX6HDPM.Value.Description","DEX6HDPM.Count","DEX6HDPM.Cumulative","DEX6HDPM.Skip.to.Item"
"1","Present",19,19,NA
".","Missing",2973,2992,NA
