"DRD370FQ.Code.or.Value","DRD370FQ.Value.Description","DRD370FQ.Count","DRD370FQ.Cumulative","DRD370FQ.Skip.to.Item"
"1 to 15","Range of Values",163,163,NA
".","Missing",9381,9544,NA
