"URXMIB.Code.or.Value","URXMIB.Value.Description","URXMIB.Count","URXMIB.Cumulative","URXMIB.Skip.to.Item"
"0.57 to 1384.8","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
