"DR2TMFAT.Code.or.Value","DR2TMFAT.Value.Description","DR2TMFAT.Count","DR2TMFAT.Cumulative","DR2TMFAT.Skip.to.Item"
"0 to 167.256","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
