"DR2IVD.Code.or.Value","DR2IVD.Value.Description","DR2IVD.Count","DR2IVD.Cumulative","DR2IVD.Skip.to.Item"
"0 to 72.1","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
