"WBXF007.Code.or.Value","WBXF007.Value.Description","WBXF007.Count","WBXF007.Cumulative","WBXF007.Skip.to.Item"
"363.9133 to 363.9133","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
