"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"2.4 to 209.1","Range of Values",9529,9529,NA
".","Missing",114,9643,NA
