"LBDD01LC.Code.or.Value","LBDD01LC.Value.Description","LBDD01LC.Count","LBDD01LC.Cumulative","LBDD01LC.Skip.to.Item"
"0","At or above the detection limit",236,236,NA
"1","Below lower detection limit",11,247,NA
".","Missing",17,264,NA
