"DSQIPFAT.Code.or.Value","DSQIPFAT.Value.Description","DSQIPFAT.Count","DSQIPFAT.Cumulative","DSQIPFAT.Skip.to.Item"
"0.075 to 6","Range of Values",277,277,NA
".","Missing",9282,9559,NA
