"LBXOD9.Code.or.Value","LBXOD9.Value.Description","LBXOD9.Count","LBXOD9.Cumulative","LBXOD9.Skip.to.Item"
"4.46 to 238","Range of Values",2742,2742,NA
".","Missing",1586,4328,NA
