"SPXNPEF.Code.or.Value","SPXNPEF.Value.Description","SPXNPEF.Count","SPXNPEF.Cumulative","SPXNPEF.Skip.to.Item"
"1315 to 17695","Range of Values",7079,7079,NA
".","Missing",1116,8195,NA
