"PUD020.Code.or.Value","PUD020.Value.Description","PUD020.Count","PUD020.Cumulative","PUD020.Skip.to.Item"
"1","Entire home",871,871,NA
"2","Kitchen or dining room, not entire home",776,1647,NA
"3","Other rooms",170,1817,NA
".","Missing",8305,10122,NA
