"BAQ110.Code.or.Value","BAQ110.Value.Description","BAQ110.Count","BAQ110.Cumulative","BAQ110.Skip.to.Item"
"1","Yes",908,908,NA
"2","No",10,918,NA
".","Missing",93,1011,NA
