"RFXC154.Code.or.Value","RFXC154.Value.Description","RFXC154.Count","RFXC154.Cumulative","RFXC154.Skip.to.Item"
"-7.054 to 6.065","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
