"URDMU3LC.Code.or.Value","URDMU3LC.Value.Description","URDMU3LC.Count","URDMU3LC.Cumulative","URDMU3LC.Skip.to.Item"
"0","At or above detection limit",2383,2383,NA
"1","Below lower detection limit",15,2398,NA
".","Missing",107,2505,NA
