"HCQ140A.Code.or.Value","HCQ140A.Value.Description","HCQ140A.Count","HCQ140A.Cumulative","HCQ140A.Skip.to.Item"
"1","Yes",1,1,NA
"2","No",1,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",110,112,NA
