"DR2CCMNM.Code.or.Value","DR2CCMNM.Value.Description","DR2CCMNM.Count","DR2CCMNM.Cumulative","DR2CCMNM.Skip.to.Item"
"0 to 13","Range of Values",132151,132151,NA
".","Missing",0,132151,NA
