"LBCMIR.Code.or.Value","LBCMIR.Value.Description","LBCMIR.Count","LBCMIR.Cumulative","LBCMIR.Skip.to.Item"
"0.0044 to 0.3758","Range of Values",264,264,NA
".","Missing",0,264,NA
