"LBXTC2LA.Code.or.Value","LBXTC2LA.Value.Description","LBXTC2LA.Count","LBXTC2LA.Cumulative","LBXTC2LA.Skip.to.Item"
"1.3 to 717","Range of Values",1860,1860,NA
".","Missing",425,2285,NA
