"WTSAU33.Code.or.Value","WTSAU33.Value.Description","WTSAU33.Count","WTSAU33.Cumulative","WTSAU33.Skip.to.Item"
"0 to 472122.49841","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
