"ALQ150.Code.or.Value","ALQ150.Value.Description","ALQ150.Count","ALQ150.Cumulative","ALQ150.Skip.to.Item"
"1","Yes",614,614,NA
"2","No",3281,3895,NA
"7","Refused",0,3895,NA
"9","Don't know",1,3896,NA
".","Missing",1131,5027,NA
