"DXXPT81X.Code.or.Value","DXXPT81X.Value.Description","DXXPT81X.Count","DXXPT81X.Cumulative","DXXPT81X.Skip.to.Item"
"665.4 to 1196","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
