"DS2TCAFF.Code.or.Value","DS2TCAFF.Value.Description","DS2TCAFF.Count","DS2TCAFF.Cumulative","DS2TCAFF.Skip.to.Item"
"66 to 400","Range of Values",10,10,NA
".","Missing",10243,10253,NA
