"DS1LOC.Code.or.Value","DS1LOC.Value.Description","DS1LOC.Count","DS1LOC.Cumulative","DS1LOC.Skip.to.Item"
"1","HouseHold Interview",4584,4584,NA
"2","MEC Interview",1322,5906,NA
"3","Phone Interview",0,5906,NA
".","Missing",0,5906,NA
