"ALD240.Code.or.Value","ALD240.Value.Description","ALD240.Count","ALD240.Cumulative","ALD240.Skip.to.Item"
"1 to 304","Range of Values",1687,1687,NA
"0","Never",3184,4871,NA
"77777","Refused",7,4878,NA
"99999","Don't know",1,4879,NA
".","Missing",5086,9965,NA
