"SSOL_L.Code.or.Value","SSOL_L.Value.Description","SSOL_L.Count","SSOL_L.Cumulative","SSOL_L.Skip.to.Item"
"BI","Biclonal",7,7,NA
"K","Kappa",37,44,NA
"L","Lambda",19,63,NA
"< blank >","Missing",1978,2041,NA
