"URXMZP.Code.or.Value","URXMZP.Value.Description","URXMZP.Count","URXMZP.Cumulative","URXMZP.Skip.to.Item"
"0.21 to 282.4","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
