"SMD075.Code.or.Value","SMD075.Value.Description","SMD075.Count","SMD075.Cumulative","SMD075.Skip.to.Item"
"1 to 70","Range of Values",935,935,NA
"777","Refused",0,935,NA
"999","Don't know",16,951,NA
".","Missing",4460,5411,NA
