"PHQ050.Code.or.Value","PHQ050.Value.Description","PHQ050.Count","PHQ050.Cumulative","PHQ050.Skip.to.Item"
"1","Yes",53,53,NA
"2","No",8858,8911,NA
".","Missing",254,9165,NA
