"FSD012N.Code.or.Value","FSD012N.Value.Description","FSD012N.Count","FSD012N.Cumulative","FSD012N.Skip.to.Item"
"1 to 6","Range of Values",2813,2813,NA
"7","7 or more",164,2977,NA
"77","Refused",0,2977,NA
"99","Don't know",0,2977,NA
".","Missing",6994,9971,NA
