"DRD370PQ.Code.or.Value","DRD370PQ.Value.Description","DRD370PQ.Count","DRD370PQ.Cumulative","DRD370PQ.Skip.to.Item"
"1 to 3","Range of Values",10,10,NA
".","Missing",9803,9813,NA
