"DR2IFF.Code.or.Value","DR2IFF.Value.Description","DR2IFF.Count","DR2IFF.Cumulative","DR2IFF.Skip.to.Item"
"0 to 632","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
