"CVAARM.Code.or.Value","CVAARM.Value.Description","CVAARM.Count","CVAARM.Cumulative","CVAARM.Skip.to.Item"
"1","Right",3425,3425,NA
"2","Left",25,3450,NA
"3","Could not obtain",0,3450,NA
".","Missing",1702,5152,NA
