"URDMNMLC.Code.or.Value","URDMNMLC.Value.Description","URDMNMLC.Count","URDMNMLC.Cumulative","URDMNMLC.Skip.to.Item"
"0","At or above the detection limit",1009,1009,NA
"1","Below lower detection limit",1595,2604,NA
".","Missing",114,2718,NA
