"VIXORCM.Code.or.Value","VIXORCM.Value.Description","VIXORCM.Count","VIXORCM.Cumulative","VIXORCM.Skip.to.Item"
"0 to 7.75","Range of Values",6845,6845,NA
"88","Could not obtain",166,7011,NA
".","Missing",434,7445,NA
