"PAXTRANM.Code.or.Value","PAXTRANM.Value.Description","PAXTRANM.Count","PAXTRANM.Cumulative","PAXTRANM.Skip.to.Item"
"0","False",77670850,77670850,NA
"1","True",456006,78126856,NA
"< blank >","Missing",0,78126856,NA
