"WBXP015.Code.or.Value","WBXP015.Value.Description","WBXP015.Count","WBXP015.Cumulative","WBXP015.Skip.to.Item"
"-23.2242 to 156.5482","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
