"BIXS200K.Code.or.Value","BIXS200K.Value.Description","BIXS200K.Count","BIXS200K.Cumulative","BIXS200K.Skip.to.Item"
"65.95 to 860.2","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
