"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.034 to 31","Range of Values",2271,2271,NA
".","Missing",78,2349,NA
