"DRD370EQ.Code.or.Value","DRD370EQ.Value.Description","DRD370EQ.Count","DRD370EQ.Cumulative","DRD370EQ.Skip.to.Item"
"1 to 15","Range of Values",559,559,NA
".","Missing",9254,9813,NA
