"DRD370GQ.Code.or.Value","DRD370GQ.Value.Description","DRD370GQ.Count","DRD370GQ.Cumulative","DRD370GQ.Skip.to.Item"
"1 to 6","Range of Values",137,137,NA
".","Missing",10116,10253,NA
