"DSQTZINC.Code.or.Value","DSQTZINC.Value.Description","DSQTZINC.Count","DSQTZINC.Cumulative","DSQTZINC.Skip.to.Item"
"0.02 to 193.25","Range of Values",2264,2264,NA
".","Missing",7707,9971,NA
