"DR2TB12A.Code.or.Value","DR2TB12A.Value.Description","DR2TB12A.Count","DR2TB12A.Cumulative","DR2TB12A.Skip.to.Item"
"0 to 46.31","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
