"SMD100CO.Code.or.Value","SMD100CO.Value.Description","SMD100CO.Count","SMD100CO.Cumulative","SMD100CO.Skip.to.Item"
"3 to 20","Range of Values",966,966,NA
".","Missing",5824,6790,NA
