"OSQ090h.Code.or.Value","OSQ090h.Value.Description","OSQ090h.Count","OSQ090h.Cumulative","OSQ090h.Skip.to.Item"
"1","Yes",4,4,"OSQ120h"
"2","No",2,6,""
"7","Refused",0,6,"OSQ120h"
"9","Don't know",0,6,"OSQ120h"
".","Missing",5929,5935,""
