"DSQTSFAT.Code.or.Value","DSQTSFAT.Value.Description","DSQTSFAT.Count","DSQTSFAT.Cumulative","DSQTSFAT.Skip.to.Item"
"0 to 8.4","Range of Values",242,242,NA
".","Missing",9907,10149,NA
