"DSQTCARB.Code.or.Value","DSQTCARB.Value.Description","DSQTCARB.Count","DSQTCARB.Cumulative","DSQTCARB.Skip.to.Item"
"0 to 58","Range of Values",1243,1243,NA
".","Missing",9294,10537,NA
