"DR1IFA.Code.or.Value","DR1IFA.Value.Description","DR1IFA.Count","DR1IFA.Cumulative","DR1IFA.Skip.to.Item"
"0 to 1868","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
