"DRXFDCD.Code.or.Value","DRXFDCD.Value.Description","DRXFDCD.Count","DRXFDCD.Cumulative","DRXFDCD.Skip.to.Item"
"11000000 to 94210100","Range of Values",6940,6940,NA
".","Missing",0,6940,NA
