"RHQ240E.Code.or.Value","RHQ240E.Value.Description","RHQ240E.Count","RHQ240E.Cumulative","RHQ240E.Skip.to.Item"
"14","Didn't know how to breast-feed",47,47,NA
".","Missing",3470,3517,NA
