"URDBUPLC.Code.or.Value","URDBUPLC.Value.Description","URDBUPLC.Count","URDBUPLC.Cumulative","URDBUPLC.Skip.to.Item"
"0","At or above the detection limit",662,662,NA
"1","Below lower detection limit",1827,2489,NA
".","Missing",105,2594,NA
