"DID341.Code.or.Value","DID341.Value.Description","DID341.Count","DID341.Cumulative","DID341.Skip.to.Item"
"1 to 104","Range of Values",511,511,NA
"0","None",211,722,NA
"7777","Refused",0,722,NA
"9999","Don't know/not sure",8,730,NA
".","Missing",9040,9770,NA
