"BPXSY1.Code.or.Value","BPXSY1.Value.Description","BPXSY1.Count","BPXSY1.Cumulative","BPXSY1.Skip.to.Item"
"74 to 230","Range of Values",7147,7147,NA
".","Missing",2615,9762,NA
