"URDCEMLC.Code.or.Value","URDCEMLC.Value.Description","URDCEMLC.Count","URDCEMLC.Cumulative","URDCEMLC.Skip.to.Item"
"0","At or above the detection limit",2226,2226,NA
"1","Below lower detection limit",14,2240,NA
".","Missing",109,2349,NA
