"DR2ITHEO.Code.or.Value","DR2ITHEO.Value.Description","DR2ITHEO.Count","DR2ITHEO.Cumulative","DR2ITHEO.Skip.to.Item"
"0 to 946","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
