"DR1TCARB.Code.or.Value","DR1TCARB.Value.Description","DR1TCARB.Count","DR1TCARB.Cumulative","DR1TCARB.Skip.to.Item"
"12.24 to 1670.26","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
