"AUQ220.Code.or.Value","AUQ220.Value.Description","AUQ220.Count","AUQ220.Cumulative","AUQ220.Skip.to.Item"
"1","Yes",132,132,NA
"2","No",144,276,NA
"7","Refused",0,276,NA
"9","Don't know",2,278,NA
".","Missing",9215,9493,NA
