"DR1IP183.Code.or.Value","DR1IP183.Value.Description","DR1IP183.Count","DR1IP183.Cumulative","DR1IP183.Skip.to.Item"
"0 to 14.498","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
