"URDMOHLC.Code.or.Value","URDMOHLC.Value.Description","URDMOHLC.Count","URDMOHLC.Cumulative","URDMOHLC.Skip.to.Item"
"0","At or above the detection limit",2522,2522,NA
"1","Below lower detection limit",26,2548,NA
".","Missing",90,2638,NA
