"VIXKRCG.Code.or.Value","VIXKRCG.Value.Description","VIXKRCG.Count","VIXKRCG.Cumulative","VIXKRCG.Skip.to.Item"
"0 to 179","Range of Values",6429,6429,NA
"888","Could not obtain",98,6527,NA
".","Missing",453,6980,NA
