"BPQ050A.Code.or.Value","BPQ050A.Value.Description","BPQ050A.Count","BPQ050A.Cumulative","BPQ050A.Skip.to.Item"
"1","Yes",1183,1183,NA
"2","No",156,1339,NA
"7","Refused",0,1339,NA
"9","Don't know",0,1339,NA
".","Missing",5295,6634,NA
