"DS2TVB6.Code.or.Value","DS2TVB6.Value.Description","DS2TVB6.Count","DS2TVB6.Cumulative","DS2TVB6.Skip.to.Item"
"0.03 to 303.27","Range of Values",1449,1449,NA
".","Missing",7255,8704,NA
