"MCQ240V.Code.or.Value","MCQ240V.Value.Description","MCQ240V.Count","MCQ240V.Cumulative","MCQ240V.Skip.to.Item"
"65 to 74","Range of Values",5,5,NA
"85","85 years or older",1,6,NA
"77777","Refused",0,6,NA
"99999","Don't know",0,6,NA
".","Missing",9487,9493,NA
